商品名,英文品名,許可證字號,許可證種類,劑型,規格,包裝,適應症,排除原因,命中關鍵字
"""派頓""排力敏錠５公絲","BRIKEMIN TABLETS 5MG ""PATRON"" (MEQUITAZINE)",衛署藥製字第043432號,製 劑,錠劑,MEQUITAZINE,塑膠瓶裝;;鋁箔盒裝,過敏性鼻炎、蕁麻疹、濕疹、藥物過敏、乾草熱、血管神經性水腫、季節性結膜炎。,非眼科外用最終劑型,結膜炎
"""溫士頓""舒敏錠5毫克",Mequitine Tablets 5mg,衛署藥製字第042538號,製 劑,錠劑,MEQUITAZINE,瓶裝;;鋁箔盒裝,過敏性鼻炎、乾草熱、蕁麻疹、濕疹、血管性神經水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
"""濟生""新斯狄格明注射液","NEOSTIGMINE INJECTION ""CHI SHENG""",內衛藥製字第000337號,製 劑,注射劑,NEOSTIGMINE METHYLSULFATE,玻璃安瓿裝;;盒裝,各種腸管麻痺及排尿困難。由於肌無力、肌肉麻痺、腦溢血、小兒麻痺、神經痛、關節痛等引起之各種運動障礙。眼肌無力症、綠內障、瞳孔反應檢查等,非眼科外用最終劑型,眼
"""生達"" 力克敏錠２毫克（右氯敏）","DELAMIN TABLETS 2MG ""STANDARD"" (DEXCHLORPHENIRAMINE MALEATE)",衛署藥製字第026559號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""生達"" 喜迅靜脈輸液２毫克/毫升（塞浦弗洒辛）","Cixa IV Infusion Solution 2mg/ml ""Standard"" (Ciprofloxacin)",衛署藥製字第041751號,製 劑,注射劑,CIPROFLOXACIN,紙盒裝;;玻璃小瓶裝,成人:對Ｃｉｐｒｏｆｌｏｘａｃｉｎ有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腸炎、膽囊炎、腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。小孩:大腸桿菌引起之複雜性泌尿道感染和腎盂腎炎(1-17歲)、綠膿桿菌有關之囊腫性纖維化產生急性肺部惡化的現象(5-17歲)。成人和小孩:吸入炭疽病(接觸後)。,非眼科外用最終劑型,眼
"""生達"" 宜敏靜糖漿1公絲/公撮","CLATINE SYRUP 1MG/ML ""STANDARD""",衛署藥製字第046100號,製 劑,糖漿劑,LORATADINE,塑膠瓶裝;;玻璃瓶裝,緩解過敏性鼻炎的相關症狀，如流鼻水、鼻塞、搔癢及緩解眼睛搔癢和灼熱感。,非眼科外用最終劑型,眼
"""生達"" 宜敏靜錠１０公絲（樂雷塔定）","CLATINE TABLET 10MG ""STANDARD""(LORATADINE)",衛署藥製字第044414號,製 劑,錠劑,LORATADINE,塑膠瓶裝;;鋁箔盒裝,緩解過敏性鼻炎的相關症狀，如打噴嚏、鼻漏、鼻搔癢以及眼睛的搔癢、灼熱感。口服ＬＯＲＡＴＡＤＩＮＥ之後可快速緩解鼻部及眼部的不適症狀。ＣＬＡＴＩＮＥ錠劑亦可用於緩解慢性蕁痲疹或其他過敏性皮膚炎的相關症狀。,非眼科外用最終劑型,眼
"""生達""克敏錠","""STANDARD"" ALLERTIN",內衛藥製字第000217號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""生達""普治敏錠（布克利啶）","LONZUMIN TABLETS ""STANDARD""(BUCLIZINE)",衛署藥製字第018559號,製 劑,錠劑,BUCLIZINE 2HCL,塑膠瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕，打噴嚏，眼睛及喉部搔癢）及過敏所引起之搔癢，皮膚癢疹，預防或緩解動暈症（暈車，暈船，暈機）引起之頭暈，噁心，嘔吐，頭痛等症狀。,非眼科外用最終劑型,眼
"""皇佳"" 克立敏錠（克雷滿汀）","CLEMIN TABLETS (CLEMASTINE) ""ROYAL""",衛署藥製字第022556號,製 劑,錠劑,CLEMASTINE FUMARATE,鋁箔盒裝;;瓶裝,緩解過敏性鼻炎，枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""皇佳"" 鼻治炎糖漿","LALLERGY SYRUP ""ROYAL""",衛署藥製字第046275號,製 劑,糖漿劑,LORATADINE,玻璃瓶裝,緩解過敏性鼻炎之相關症狀，如流鼻水、鼻塞、搔癢及緩解眼睛搔癢和灼熱感。,非眼科外用最終劑型,眼
"""盈盈""好樂民錠４毫克（縮蘋酸溴菲安明）","Broramin Tablets 4mg""SOURIREE""(Brompheniramine Maleate)",衛署藥製字第021904號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,PTP 鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""盈盈""康敏通錠４毫克(縮蘋酸氯菲安明)",SOURIREE COM-TRIMETON TABLETS 4MG,衛署藥製字第031673號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝;;鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""盈盈""鼻炎膠囊２５毫克(鹽酸二苯安明)","Diamine Capsules 25mg ""SOURIREE""(Diphenhydramine HCl)",衛署藥製字第031932號,製 劑,膠囊劑,DIPHENHYDRAMINE HCL,PTP 鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""福元"" 彼使膠囊25毫克",HITUS CAPSULES 25 MG,衛署藥製字第003727號,製 劑,膠囊劑,DIPHENHYDRAMINE HCL,AL-FOIL 鋁箔盒;;PTP 鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""福元"" 樂得克錠","ROTEC TABLETS ""F.Y.""",衛署藥製字第023879號,製 劑,錠劑,CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL,PTP 鋁箔盒裝;;AL-FOIL 鋁箔盒,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""福元""安西諾隆錠４毫克","TRIAMCINOLONE TABLETS 4 MG ""F.Y.""",衛署藥製字第015579號,製 劑,錠劑,TRIAMCINOLONE,PTP 鋁箔盒裝;;AL-FOIL 鋁箔盒;;塑膠瓶裝,風濕性關節炎、風濕熱、膠原病、過敏性疾患、結合織炎及關節樣疾患、重症皮膚疾患、過敏症及炎症性眼科疾患、肉芽腫,非眼科外用最終劑型,眼；眼科
"""福元""彼脫拉敏錠10毫克","HYDRAMINE TABLETS 10MG ""F.Y.""",內衛藥製字第005228號,製 劑,錠劑,DIPHENHYDRAMINE HCL,PVC/PVDC/PTP鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""約克"" 克涕能膠囊","TABRON CAPSULES ""Y.K.""",衛署藥製字第025767號,製 劑,膠囊劑,CAFFEINE ANHYDROUS;;CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""約克"" 舒鼻樂糖漿","SUBILO SYRUPS ""Y.K.""",衛署藥製字第022780號,製 劑,糖漿劑,PHENYLEPHRINE HCL;;BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""約克""右氯敏錠２毫克(縮蘋酸右旋氯菲安明)","DEXCHLORPHENIRAMINE MALEATE TABLETS 2MG ""Y.K.""",衛署藥製字第025027號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""約克""祛敏錠５毫克","DEMINE TABLETS 5MG ""Y.K.""",衛署藥製字第038263號,製 劑,錠劑,MEQUITAZINE,PTP 鋁箔盒裝;;塑膠瓶裝(HDPE),過敏性鼻炎、乾草熱、蕁麻疹、血管神經性水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
"""約克""美得松錠","MEDESONE TABLETS ""Y.K.""",衛署藥製字第001779號,製 劑,錠劑,DEXAMETHASONE,PTP 鋁箔盒裝;;塑膠瓶裝(HDPE),風濕性疾患（關節炎、風濕症）過敏性疾患（支氣管氣喘、鼻炎、蕁麻疹）重症皮膚疾患（濕疹、乾癬、天？瘡、皮膚炎）及炎症性眼症患、膠原病、結合組織及關節炎樣症患（關節周圍炎、粘液囊炎）,非眼科外用最終劑型,眼
"""紐約"" 紅黴素乾甜乳",R-MYCIN DRY SYRUP,內衛藥製字第012960號,製 劑,糖漿用顆粒劑,ERYTHROMYCIN (ESTOLATE),瓶裝,眼瞼炎、結合膜炎、中耳炎、小泡性扁桃腺炎、喉炎、支氣管炎、細菌性心內膜炎、膿毒性心包炎、阿米巴病、阿米巴腫瘍、龜頭炎、痙頭包皮炎、膿腫、蜂窩組織炎、褥瘡潰瘍、傳染性關節炎、淋菌性關節炎、骨髓炎,非眼科外用最終劑型,眼
"""紐約""乙酸可體松片","CORTISONE TABLETS ""N.Y.""",內衛藥製字第009857號,製 劑,錠劑,CORTISONE ACETATE,瓶裝,風濕性關節炎、急性風濕熱、過敏性病、炎症性眼病、皮膚病、贅生性疾病及阿迪生氏病,非眼科外用最終劑型,眼
"""羅得""克鼻炎膠囊","KOBEN CAPSULES ""ROOT""",衛署藥製字第032948號,製 劑,膠囊劑,CARBINOXAMINE MALEATE;;LYSOZYME CHLORIDE;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS,瓶裝;;鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""羅得""鼻感寧液","BECANDINE SOLUTION ""R.T.""",衛署藥製字第031519號,製 劑,內服液劑,PSEUDOEPHEDRINE HCL;;TRIPROLIDINE HCL,玻璃瓶裝;;塑膠桶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢。),非眼科外用最終劑型,眼
"""美""安西諾隆錠",TRIAMCINOLONE TABLETS,衛署藥製字第014595號,製 劑,錠劑,TRIAMCINOLONE,瓶裝,過敏性症狀、僂麻質斯症狀、皮膚炎、濕疹、眼角膜炎、神經性鼻炎、支氣管氣喘,非眼科外用最終劑型,眼；角膜炎
"""美""貝他每松錠",BETAMETHASONE TABLETS,衛署藥製字第013695號,製 劑,錠劑,BETAMETHASONE,瓶裝;;罐裝,僂麻質性症狀、過敏性症狀、神經炎、濕疹、皮膚炎、乾癬、眼角膜炎、鼻炎、乾草熱、支氣管氣喘,非眼科外用最終劑型,眼；角膜炎
"""美的""毒克膠囊","TUK'O CAPSULES ""M.D.""",衛署藥製字第023025號,製 劑,膠囊劑,PYRIDOXINE HCL;;RIBOFLAVIN (VIT B2);;PANTOTHENATE CALCIUM;;CHLORPHENIRAMINE MALEATE;;NIACINAMIDE (NICOTINAMIDE);;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;BIOTIN,瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""美西"" 清鼻通膠囊","NABERINE CAPSULES ""MAY SEE""",衛署藥製字第026478號,製 劑,膠囊劑,CARBINOXAMINE MALEATE;;CAFFEINE ANHYDROUS;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;PSEUDOEPHEDRINE HCL;;LYSOZYME (CHLORIDE),鋁箔盒裝,緩解過敏性鼻炎，枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""聯邦""優普膜衣錠２５０毫克（塞浦弗洒辛）","UNIPRO FILM COATED TABLETS 250MG (CIPROFLOXACIN) ""UNION""",衛署藥製字第039271號,製 劑,膜衣錠,CIPROFLOXACIN (HCL),鋁箔裝;;塑膠容器裝,對ＣＩＰＲＯＦＬＯＸＡＣＩＮ有感受性之細菌所引起之呼吸道感染、中耳炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腹膜炎）、竇炎、皮膚及軟組織感染、骨髓炎、關節感染、菌血症,非眼科外用最終劑型,眼
"""聯邦""優普膜衣錠５００毫克（塞普沙辛）","UNIPRO FILM-COATED TABLETS 500MG (CIPROFLOXACIN) ""UNION""",衛署藥製字第039488號,製 劑,膜衣錠,CIPROFLOXACIN (HCL),鋁箔裝;;塑膠容器裝,對ＣＩＰＲＯＦＬＯＸＡＣＩＮ有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症,非眼科外用最終劑型,眼
"""聯邦""優普膜衣錠７５０毫克（塞浦弗洒辛）","UNIPRO FILM-COATED TABLETS 750MG (CIPROFLOXACIN) ""UNION""",衛署藥製字第038527號,製 劑,膜衣錠,CIPROFLOXACIN (HCL),鋁箔裝;;塑膠容器裝,對ＣＩＰＲＯＦＬＯＸＡＣＩＮ有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感炎、菌血症,非眼科外用最終劑型,眼
"""聯邦""必有寧一祈錠","BIONAMIN-H TABLETS ""C.Y.""",衛署藥製字第015722號,製 劑,錠劑,NIACINAMIDE (NICOTINAMIDE);;PANTOTHENATE CALCIUM;;BIOTIN;;CHLORPHENIRAMINE MALEATE;;RIBOFLAVIN (VIT B2);;PYRIDOXINE HCL;;GLYCYRRHIZIN (AMMONIATED),瓶裝,暫時緩解過敏性鼻炎，枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢，皮膚癢疹。,非眼科外用最終劑型,眼
"""聯邦""芬那命鈣Ｂ６錠","PHENAMINCAL-B6 TABLETS ""C.Y.""",衛署藥製字第005600號,製 劑,錠劑,"RIBOFLAVIN (VIT B2);;CALCITRIOL (DIHYDROXYCHOLECALCIFEROL 1-ALPHA, 25-);;PYRIDOXINE HCL;;CHLORPHENIRAMINE MALEATE;;NIACINAMIDE (NICOTINAMIDE)",瓶裝,暫時緩解過敏性鼻炎，枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢，皮膚癢疹。,非眼科外用最終劑型,眼
"""華琳""布克利啶錠","BUCLIZINE TABLETS ""H.L.""",衛署藥製字第016395號,製 劑,錠劑,BUCLIZINE 2HCL,瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹、預防或緩解動暈症（暈車、暈船、暈機）引起之頭暈、噁心、嘔吐、頭痛等症狀。,非眼科外用最終劑型,眼
"""華盛頓""縮蘋酸氯菲氨明錠４毫克","CHLORPHENIRAMINE MALEATE TABLETS 4MG ""W.P.""",衛署藥製字第025214號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""華盛頓""諾敏錠（縮蘋酸卡比諾沙明）","NO-MINE TABLETS ""W.P."" (CARBINOXAMINE MALEATE)",衛署藥製字第021470號,製 劑,錠劑,CARBINOXAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及 喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""華興"" 儂涕克錠","LONTEC TABLETS ""H.H.""",衛署藥製字第013644號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""華興"" 敏力錠","MINRID TABLETS ""H.S.""",衛署藥製字第012524號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""華興"" 樂敏定錠１０公絲（樂雷塔定）","LOMIDINE TABLETS 10MG (LORATADINE) ""H.S.""",衛署藥製字第039932號,製 劑,錠劑,LORATADINE,鋁箔盒裝;;瓶裝,緩解過敏性鼻炎的相關症狀、如流鼻水、鼻塞、搔癢及眼睛搔癢和灼熱感及緩解因慢性蕁麻疹及過敏性皮膚病所引起的症狀,非眼科外用最終劑型,眼
"""華興""布克珍錠（布克利啶）","BUCLIZINE TABLETS ""H.H.""",衛署藥製字第018873號,製 劑,錠劑,BUCLIZINE 2HCL,鋁箔盒裝;;塑膠瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹、預防或緩解動暈症（暈車、暈船、暈機）引起之頭暈、噁心、嘔吐、頭痛等症狀。,非眼科外用最終劑型,眼
"""華興""汰炎錠100公絲（泰拉邁得）","TIARAM TABLETS 100MG (TIARAMIDE) ""H.H.""",衛署藥製字第032332號,製 劑,錠劑,TIARAMIDE HCL,瓶裝;;鋁箔盒裝,手術後或外傷後之鎮痛、消炎。下列疾病之鎮痛、消炎：上呼吸道炎症（感冒、咽喉炎、扁桃腺炎）、關節炎、腰痛症、頸肩腕症候群、骨盤內炎症、軟產道損傷、乳房鬱積、帶狀疱疹、多形侵出性紅斑、膀胱炎、副睪丸炎、前眼部炎症、智齒周圍炎、拔齒後之鎮痛、消炎,非眼科外用最終劑型,眼
"""華興""立克膠囊","RICO CAPSULES ""H.H.""",衛署藥製字第025581號,製 劑,膠囊劑,CAFFEINE ANHYDROUS;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;CARBINOXAMINE MALEATE;;LYSOZYME CHLORIDE;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""衛肯""克止敏膠囊50毫克","Hydramin Capsule 50mg ""Welcan""",衛部藥製字第061447號,製 劑,膠囊劑,DIPHENHYDRAMINE HCL,塑膠瓶裝(HDPE);;PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""衛肯""立保停錠１毫克","LEPOTIN TABLETS 1MG ""WELCAN"" (CLEMASTINE)",衛署藥製字第024921號,製 劑,錠劑,CLEMASTINE (FUMARATE),瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴&#22164;、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""衛達"" 樂達寧錠１０公絲","LOTARIN TABLETS 10MG ""WEIDAR""",衛署藥製字第045557號,製 劑,錠劑,LORATADINE,鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎的相關症狀，如流鼻水、鼻塞、搔癢及眼睛搔癢和灼熱感及緩解因慢性蕁痲疹及過敏性皮膚病所引起的症狀。,非眼科外用最終劑型,眼
"""衛達""速倍樂膜衣錠250毫克","SUPEROCIN F.C. TABLETS 250MG ""WEIDAR""",衛署藥製字第040429號,製 劑,膜衣錠,CIPROFLOXACIN (HCL),PTP 鋁箔盒裝;;塑膠瓶裝,對ＣＩＰＲＯＦＬＯＸＡＣＩＮ有感受性的細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。成人和小孩：吸入性炭疽病（接觸後）。小孩：大腸桿菌所引起之複雜性泌尿道感染和腎盂腎炎(1-17歲)、綠膿桿菌有關之囊腫性纖維化產生急性肺部惡化的現象（5-17歲）。,非眼科外用最終劑型,眼
"""衛達""速倍樂膜衣錠500毫克","SUPEROCIN F.C. TABLETS 500MG ""WEIDAR""",衛署藥製字第038368號,製 劑,膜衣錠,CIPROFLOXACIN (HCL),鋁箔盒裝;;塑膠瓶裝,對ＣＩＰＲＯＦＬＯＸＡＣＩＮ有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。成人和小孩：吸入性炭疽病（接觸後）。小孩：大腸桿菌所引起之複雜性泌尿道感染和腎盂腎炎(1-17歲)、綠膿桿菌有關之囊腫性纖維化產生急性肺部惡化的現象（5-17歲）。,非眼科外用最終劑型,眼
"""豐田"" 右氯敏錠","DEXCHLORPHENIRAMINE TABLETS ""HONTEN""",衛署藥製字第019485號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""豐田"" 布隆克敏錠","BRONCOMINE TABLETS ""HONTEN""",衛署藥製字第010211號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""豐田"" 美沙松錠（貝他每松）","BETAMETHASONE TABLETS ""HONTEN""",衛署藥製字第016392號,製 劑,錠劑,BETAMETHASONE,瓶裝,僂麻質斯疾患感染症、火傷、大手術等之應力狀態、關節炎疾患、皮質疾患、炎症性眼疾患、支氣管氣喘、結節性動脈周圍炎、過敏性疾患,非眼科外用最終劑型,眼
